,dt,bid_count,position_count,cash_value,positions_value,total_value
160,2020-04-29,0,9,8904.203942489621,94372.83477783203,103277.03872032165
161,2020-04-30,2,8,15566.311552047726,86148.55308532715,101714.86463737488
162,2020-05-01,0,8,15566.311552047726,83863.03825378418,99429.34980583191
163,2020-05-04,0,8,15566.311552047726,84947.06001281738,100513.37156486511
164,2020-05-05,1,7,30401.823072433468,70727.14500427246,101128.96807670593
165,2020-05-06,1,8,27576.208987808222,73125.54473876953,100701.75372657775
166,2020-05-07,0,8,27576.208987808222,73969.33898925781,101545.54797706603
167,2020-05-08,0,8,27576.208987808222,75795.70503234863,103371.91402015685
168,2020-05-11,0,8,27576.208987808222,75844.58312988281,103420.79211769103
169,2020-05-12,1,8,27576.208987808222,74726.3765335083,102302.58552131652
170,2020-05-13,0,8,27576.208987808222,73553.38039398193,101129.58938179015
171,2020-05-14,0,8,27576.208987808222,74595.3125,102171.52148780822
172,2020-05-15,2,8,18350.703693771356,84466.59927368164,102817.302967453
173,2020-05-18,1,9,13371.250581741328,91379.12063598633,104750.37121772766
174,2020-05-19,0,9,13371.250581741328,89835.95237731934,103207.20295906067
175,2020-05-20,1,8,16654.577841567985,87586.83700561523,104241.41484718322
176,2020-05-21,1,9,14297.462895584098,90040.96412658691,104338.42702217102
177,2020-05-22,0,9,14297.462895584098,89594.33536529541,103891.79826087951
178,2020-05-26,0,9,14297.462895584098,90590.01979827881,104887.48269386291
179,2020-05-27,1,9,14297.462895584098,91723.29902648926,106020.76192207336
180,2020-05-28,0,9,14297.462895584098,91765.38410186768,106062.84699745178
181,2020-05-29,0,9,14297.462895584098,92638.62190246582,106936.08479804992
182,2020-06-01,0,9,14297.462895584098,93712.02697753906,108009.48987312317
183,2020-06-02,0,9,14297.462895584098,94584.43069458008,108881.89359016418
184,2020-06-03,1,10,7086.820242691032,102928.82652282715,110015.64676551818
185,2020-06-04,0,10,7086.820242691032,102612.84465789795,109699.66490058898
186,2020-06-05,1,9,10126.551693725578,101821.07391357422,111947.6256072998
187,2020-06-08,0,9,10126.551693725578,103178.74145507812,113305.2931488037
188,2020-06-09,1,10,991.8789947509686,111313.62571716309,112305.50471191405
189,2020-06-10,1,9,12663.516862487784,99709.79537963867,112373.31224212646
190,2020-06-11,0,9,12663.516862487784,93631.90116882324,106295.41803131103
191,2020-06-12,1,9,7649.01033935546,99197.08633422852,106846.09667358398
192,2020-06-15,2,8,14020.749456024161,93725.58212280273,107746.3315788269
193,2020-06-16,0,8,14020.749456024161,95996.85974121094,110017.6091972351
